ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio,total_athletes,norm_total_athletes,city_location,lea_name,is_magnet,ap_count,stem_score,arts_participants,world_lang,norm_ap_count,norm_arts,norm_world_lang
060000710348,California School for the Deaf-Riverside,33.944558,-117.381366,298.0,64.0,4,2,4.65625,0.0198463080521216,0.0101948466780238,160.0,0.0702355460385438,Riverside,CA Sch for the Deaf-Riverside (State Special Schl),0,0,0.1204,98,88,0.0,0.14915254237288134,0.021653543307086614
060000908779,Cuyama Valley High,34.943828,-119.674697,52.0,4.0,3,1,13.0,0.003407951887738,0.0315161839863713,33.0,0.0158458244111349,New Cuyama,Cuyama Joint Unified,0,0,0.1337,67,3,0.0,0.09661016949152543,0.0007381889763779527
060000908780,Cuyama Elementary,34.93224,-119.609234,120.0,6.0,1,1,20.0,0.0079518877380554,0.0494037478705281,-4.0,0.0,New Cuyama,Cuyama Joint Unified,0,0,0.1482,137,11,0.0,0.21525423728813559,0.0027066929133858267
060001109065,Herlong High,40.139068,-120.144221,42.0,4.0,3,1,10.5,0.0027397260273972,0.0251277683134582,18.0,0.0094218415417558,Herlong,Fort Sage Unified,0,0,0.0378,97,3,0.0,0.14745762711864405,0.0007381889763779527
060001109066,Fort Sage Middle,40.139068,-120.144221,14.0,1.0,2,1,14.0,0.000868693618443,0.0340715502555366,-4.0,0.0,Herlong,Fort Sage Unified,0,0,0.0518,192,1,0.0,0.3084745762711864,0.00024606299212598425
060001109068,Sierra Primary,40.141423,-120.135161,62.0,5.0,1,1,12.4,0.0040761777480788,0.0299829642248722,-4.0,0.0,Herlong,Fort Sage Unified,0,0,0.0308,129,7,0.0,0.20169491525423727,0.0017224409448818897
060001112763,Mt. Lassen Charter,40.4211,-120.650932,123.0,6.0,4,1,20.5,0.0081523554961577,0.0506814310051107,-4.0,0.0,Herlong,Fort Sage Unified,0,0,0.0171,49,45,0.0,0.06610169491525424,0.01107283464566929
060001206852,Washington Elementary,39.358171,-120.800003,6.0,1.0,1,1,6.0,0.0003341129301703,0.0136286201022146,-4.0,0.0,Washington,Twin Ridges Elementary,0,0,0.1157,11,1,0.0,0.0016949152542372892,0.00024606299212598425
060001209206,Grizzly Hill,39.373765,-120.995434,87.0,5.0,1,1,17.4,0.0057467423989308,0.0427597955706984,-4.0,0.0,Nevada City,Twin Ridges Elementary,0,0,0.1775,113,5,0.0,0.17457627118644067,0.0012303149606299212
060001300805,Antelope Creek Elementary,38.7778,-121.2581,474.0,22.0,1,1,21.545454545454547,0.0316070831941196,0.0533529502865107,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.0602,137,140,0.0,0.21525423728813559,0.0344488188976378
060001302405,Rocklin High,38.8143,-121.2511,2210.0,95.0,3,1,23.26315789473684,0.1476110925492816,0.0577423114856989,289.0,0.1254817987152034,Rocklin,Rocklin Unified,1,0,0.3165,355,600,0.0,0.5847457627118644,0.14763779527559054
060001303571,Breen Elementary,38.8181,-121.2597,424.0,19.0,1,1,22.31578947368421,0.0282659538924156,0.0553214381780686,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.0881,297,55,0.0,0.48644067796610163,0.013533464566929134
060001306176,Victory High,38.815698,-121.254325,82.0,6.0,3,4,13.666666666666666,0.0054126294687604,0.0332197614991482,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.1745,268,4,0.0,0.43728813559322033,0.000984251968503937
060001308256,Twin Oaks Elementary,38.81,-121.2646,505.0,23.0,1,1,21.95652173913044,0.033678583361176,0.0544033775275905,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.127,175,125,0.0,0.2796610169491525,0.030757874015748032
060001308257,Granite Oaks Middle,38.8209,-121.2525,967.0,48.0,2,1,20.14583333333333,0.0645506181089208,0.049776405451448,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.0175,166,311,0.0,0.26440677966101694,0.0765255905511811
060001308553,Spring View Middle,38.7953,-121.2409,792.0,41.0,2,1,19.317073170731707,0.0528566655529569,0.0476586196867079,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.1711,51,298,0.0,0.06949152542372881,0.0733267716535433
060001308763,Valley View Elementary,38.8146,-121.2408,627.0,26.0,1,1,24.115384615384617,0.0418309388573337,0.0599200629013235,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.2038,84,231,0.0,0.12542372881355932,0.05684055118110236
060001308764,Sierra Elementary,38.7723,-121.2172,478.0,19.0,1,1,25.157894736842103,0.0318743735382559,0.0625840581009593,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.16,66,134,0.0,0.09491525423728814,0.03297244094488189
060001309069,Parker Whitney Elementary,38.7934,-121.2542,386.0,19.0,1,1,20.31578947368421,0.0257266956231206,0.0502107056397381,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.1997,41,19,0.0,0.05254237288135594,0.004675196850393701
060001309070,Rocklin Elementary,38.7915,-121.2284,579.0,25.0,1,1,23.16,0.0386234547276979,0.0574787052810902,-4.0,0.0,Rocklin,Rocklin Unified,1,0,0.4057,37,49,0.0,0.04576271186440678,0.012057086614173228
060001310270,Cobblestone Elementary,38.8021,-121.2648,412.0,19.0,1,1,21.68421052631579,0.0274640828600066,0.0537075226396485,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.1741,40,105,0.0,0.05084745762711865,0.025836614173228346
060001310575,Rock Creek Elementary,38.7983,-121.2798,456.0,20.0,1,1,22.8,0.0304042766455061,0.0565587734241908,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.0958,161,23,0.0,0.25593220338983047,0.005659448818897638
060001311009,Ruhkala Elementary,38.80289,-121.287302,313.0,13.0,1,1,24.07692307692308,0.0208486468426328,0.0598217795832787,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.2096,298,28,0.0,0.488135593220339,0.006889763779527559
060001311010,Whitney High,38.8364,-121.2894,2040.0,89.0,3,1,22.921348314606742,0.1362512529234881,0.0568688628141569,1030.0,0.4428265524625268,Rocklin,Rocklin Unified,1,0,0.2983,106,321,0.0,0.16271186440677965,0.07898622047244094
060001312558,Sunset Ranch Elementary,38.828479,-121.274654,636.0,28.0,1,1,22.714285714285715,0.0424323421316404,0.0563397420296909,-4.0,0.0,Rocklin,Rocklin Unified,0,0,0.0853,251,149,0.0,0.40847457627118644,0.03666338582677165
060001314465,Rocklin Alternative Education Center,38.815698,-121.254325,97.0,4.0,4,4,24.25,0.0064149682592716,0.0602640545144804,0.0,0.001713062098501,Rocklin,Rocklin Unified,0,0,0.2077,235,19,0.0,0.3813559322033898,0.004675196850393701
060001403904,Topaz Preparatory Academy,34.4332,-117.3541,696.0,28.0,1,1,24.857142857142858,0.0464416972936852,0.0618155268921878,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.3818,145,239,0.0,0.22881355932203387,0.058809055118110236
060001405093,Sultana High,34.4104,-117.2867,2078.0,86.0,3,1,24.162790697674417,0.1387905111927831,0.0600412028049601,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.143,211,159,0.0,0.3406779661016949,0.039124015748031496
060001407287,Shadow Ridge,34.424788,-117.31918,673.0,21.0,4,4,32.04761904761905,0.0449047778149014,0.0801898272085665,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.1655,271,103,0.0,0.44237288135593217,0.025344488188976378
060001407295,Mesquite Trails Elementary,34.398323,-117.360843,840.0,33.0,1,1,25.454545454545453,0.0560641496825927,0.0633421093387021,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.1776,129,80,0.0,0.20169491525423727,0.01968503937007874
060001408296,Hesperia Community Day,34.443814,-117.301229,11.0,1.0,3,4,11.0,0.0006682258603407,0.0264054514480408,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.2033,51,3,0.0,0.06949152542372881,0.0007381889763779527
060001409072,Hesperia High,34.4301,-117.3477,2223.0,96.0,3,1,23.15625,0.1484797861677247,0.0574691226575809,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.2039,19,842,0.0,0.015254237288135592,0.20718503937007873
060001409073,Mojave High,34.444602,-117.301624,272.0,18.0,3,4,15.11111111111111,0.0181089208152355,0.0369108461101646,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0246,255,55,0.0,0.4152542372881356,0.013533464566929134
060001409074,Joshua Circle Elementary,34.43488,-117.316527,648.0,27.0,1,1,24.0,0.0432342131640494,0.0596252129471891,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.158,168,201,0.0,0.2677966101694915,0.04945866141732284
060001409075,Juniper Elementary,34.4221,-117.2819,676.0,29.0,1,1,23.310344827586206,0.0451052455730036,0.0578628913822475,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0176,187,40,0.0,0.3,0.00984251968503937
060001409076,Eucalyptus Elementary,34.454719,-117.318821,698.0,28.0,1,1,24.928571428571427,0.0465753424657534,0.0619980530542711,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.1429,18,59,0.0,0.013559322033898303,0.014517716535433071
060001409077,Hesperia Junior High,34.436245,-117.325268,1116.0,49.0,2,1,22.77551020408164,0.0745071834279986,0.0564961930257622,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0604,275,186,0.0,0.4491525423728813,0.04576771653543307
060001409078,Mesa Grande Elementary,34.418268,-117.308349,595.0,28.0,1,1,21.25,0.0396926161042432,0.0525979557069846,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.1402,98,129,0.0,0.14915254237288134,0.03174212598425197
060001409079,Kingston Elementary,34.3868,-117.2741,741.0,30.0,1,1,24.7,0.0494487136652188,0.0614139693356047,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0675,277,257,0.0,0.4525423728813559,0.06323818897637795
060001409080,Maple Elementary,34.4431,-117.3479,868.0,35.0,1,1,24.8,0.0579351820915469,0.0616695059625213,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0573,160,196,0.0,0.2542372881355932,0.04822834645669291
060001409081,Cottonwood Elementary,34.411484,-117.339014,851.0,37.0,1,1,23.0,0.0567991981289675,0.0570698466780238,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0275,121,326,0.0,0.18813559322033896,0.08021653543307086
060001409082,Lime Street Elementary,34.4054,-117.2946,874.0,35.0,1,1,24.97142857142857,0.0583361176077514,0.062107568751521,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0903,261,51,0.0,0.4254237288135593,0.012549212598425197
060001409476,Hollyvale Elementary,34.4621,-117.3855,371.0,13.0,1,1,28.53846153846154,0.0247243568326094,0.0712226444764775,-4.0,0.0,Victorville,Hesperia Unified,0,0,0.16,223,71,0.0,0.36101694915254234,0.017470472440944882
060001409477,Carmel Elementary,34.4216,-117.2411,796.0,30.0,1,1,26.53333333333333,0.0531239558970932,0.066098807495741,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.1227,228,94,0.0,0.3694915254237288,0.02312992125984252
060001409676,Ranchero Middle,34.3826,-117.2783,1118.0,51.0,2,1,21.92156862745098,0.0746408286000668,0.0543140595250025,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0258,176,238,0.0,0.28135593220338984,0.05856299212598425
060001411119,Cypress School of the Arts,34.439201,-117.324072,748.0,31.0,1,1,24.12903225806452,0.0499164717674574,0.0599549376270813,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0427,107,284,0.0,0.16440677966101694,0.06988188976377953
060001412100,Canyon Ridge High,34.4128,-117.3827,226.0,12.0,3,4,18.83333333333333,0.0150350818576678,0.0464224872231686,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.0701,25,55,0.0,0.02542372881355932,0.013533464566929134
060001412103,Cedar Middle,34.4043,-117.3659,1018.0,45.0,2,1,22.622222222222224,0.0679585699966588,0.0561044860874503,-4.0,0.0,Hesperia,Hesperia Unified,1,0,0.4236,177,287,0.0,0.2830508474576271,0.07062007874015748
060001412171,Mission Crest Elementary,34.4115,-117.3783,856.0,35.0,1,1,24.457142857142856,0.0571333110591379,0.0607933803845217,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.101,89,99,0.0,0.13389830508474576,0.02436023622047244
060001412415,Krystal School of Science Math & Technology,34.3795,-117.2883,858.0,34.0,1,1,25.23529411764705,0.0572669562312061,0.0627818418679226,-4.0,0.0,Hesperia,Hesperia Unified,0,0,0.3041,193,252,0.0,0.3101694915254237,0.06200787401574803
060001412417,Oak Hills High,34.389,-117.3841,2458.0,106.0,3,1,23.18867924528302,0.1641830938857333,0.0575519912571116,-4.0,0.0,Oak Hills,Hesperia Unified,0,0,0.1647,243,969,0.0,0.3949152542372881,0.23843503937007873
060001503907,Mountain View High,34.41026,-116.907602,9.0,1.0,3,4,9.0,0.0005345806882726,0.0212947189097103,-4.0,0.0,Lucerne Valley,Lucerne Valley Unified,0,0,0.1218,286,1,0.0,0.4677966101694915,0.00024606299212598425
060001509083,Lucerne Valley Elementary,34.4483,-116.946767,587.0,29.0,1,1,20.24137931034483,0.0391580354159706,0.0500205604182576,-4.0,0.0,Lucerne Valley,Lucerne Valley Unified,0,0,0.0654,153,173,0.0,0.2423728813559322,0.042568897637795276
060001509084,Lucerne Valley Middle,34.457682,-116.938836,142.0,10.0,2,1,14.2,0.0094219846308052,0.0345826235093696,-4.0,0.0,Lucerne Valley,Lucerne Valley Unified,0,0,0.144,37,47,0.0,0.04576271186440678,0.01156496062992126
060001510305,Lucerne Valley High,34.457682,-116.938836,242.0,16.0,3,1,15.125,0.0161042432342131,0.0369463373083475,101.0,0.0449678800856531,Lucerne Valley,Lucerne Valley Unified,0,0,0.1072,237,86,0.0,0.3847457627118644,0.021161417322834646
060001609085,Hillside High,34.095762,-117.680049,135.0,11.0,3,4,12.272727272727272,0.0089542265285666,0.0296577357906148,-4.0,0.0,Upland,Upland Unified,1,0,0.4327,149,7,0.0,0.23559322033898306,0.0017224409448818897
060001609086,Upland High,34.1045,-117.6581,3251.0,130.0,3,1,25.00769230769231,0.2171734046107584,0.0622002358799633,1175.0,0.5049250535331906,Upland,Upland Unified,0,0,0.1172,65,879,0.0,0.09322033898305085,0.21628937007874016
060001609087,Baldy View Elementary,34.104,-117.6654,539.0,21.0,1,1,25.666666666666668,0.0359505512863347,0.0638841567291311,-4.0,0.0,Upland,Upland Unified,1,0,0.3907,207,101,0.0,0.3338983050847457,0.02485236220472441
060001609088,Cabrillo Elementary,34.1025,-117.6799,547.0,22.0,1,1,24.863636363636363,0.0364851319746074,0.0618321201796499,-4.0,0.0,Upland,Upland Unified,1,0,0.2949,343,73,0.0,0.5644067796610169,0.01796259842519685
060001609089,Citrus Elementary,34.0896,-117.664,579.0,23.0,1,1,25.17391304347826,0.0386234547276979,0.0626249907414265,-4.0,0.0,Upland,Upland Unified,0,0,0.0755,143,56,0.0,0.2254237288135593,0.013779527559055118
060001609090,Foothill Knolls Academy of Innovation,34.1096,-117.6352,584.0,24.0,1,1,24.33333333333333,0.0389575676578683,0.0604770017035775,-4.0,0.0,Upland,Upland Unified,0,0,0.2974,120,200,0.0,0.18644067796610167,0.049212598425196846
060001609091,Magnolia Elementary,34.1188,-117.6569,506.0,22.0,1,1,23.0,0.0337454059472101,0.0570698466780238,-4.0,0.0,Upland,Upland Unified,1,0,0.3456,222,172,0.0,0.3593220338983051,0.04232283464566929
060001609092,Pioneer Junior High,34.1295,-117.6548,709.0,33.0,2,1,21.484848484848484,0.0473103909121283,0.053198079603531,-4.0,0.0,Upland,Upland Unified,0,0,0.0985,158,115,0.0,0.25084745762711863,0.028297244094488187
060001609093,Sierra Vista Elementary,34.1153,-117.6478,407.0,14.0,1,1,29.071428571428573,0.0271299699298362,0.0725845704550985,-4.0,0.0,Upland,Upland Unified,0,0,0.1057,267,123,0.0,0.435593220338983,0.03026574803149606
060001609094,Sycamore Elementary,34.1113,-117.6669,434.0,16.0,1,1,27.125,0.0289341797527564,0.0676107325383305,-4.0,0.0,Upland,Upland Unified,0,0,0.1101,240,31,0.0,0.38983050847457623,0.007627952755905512
060001609095,Upland Elementary,34.100994,-117.64478,434.0,19.0,1,1,22.84210526315789,0.0289341797527564,0.0566663677934188,-4.0,0.0,Upland,Upland Unified,0,0,0.189,139,52,0.0,0.21864406779661016,0.012795275590551181
060001609096,Upland Junior High,34.1028,-117.6451,700.0,30.0,2,1,23.33333333333333,0.0467089876378215,0.0579216354344122,-4.0,0.0,Upland,Upland Unified,0,0,0.1439,12,211,0.0,0.003389830508474575,0.051919291338582675
060001609097,Valencia Elementary,34.144,-117.6576,583.0,22.0,1,1,26.5,0.0388907450718342,0.0660136286201022,-4.0,0.0,Upland,Upland Unified,1,0,0.4518,37,225,0.0,0.04576271186440678,0.055364173228346455
060001609678,Pepper Tree Elementary,34.1297,-117.6671,778.0,29.0,1,1,26.82758620689655,0.0519211493484797,0.0668507313634494,-4.0,0.0,Upland,Upland Unified,0,0,0.044,192,279,0.0,0.3084745762711864,0.06865157480314961
060001701149,Rio Vista School of Applied Learning,34.4987,-117.2514,975.0,39.0,1,1,25.0,0.0650851987971934,0.0621805792163543,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.1369,56,106,0.0,0.07796610169491526,0.02608267716535433
060001705167,Sycamore Rocks Elementary,34.5522,-117.1517,710.0,30.0,1,1,23.666666666666668,0.0473772134981623,0.0587734241908006,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.0723,21,49,0.0,0.01864406779661017,0.012057086614173228
060001708297,Granite Hills High,34.5089,-117.1653,1805.0,74.0,3,1,24.39189189189189,0.1205479452054794,0.060626640268889,409.0,0.1768736616702355,Apple Valley,Apple Valley Unified,0,0,0.0193,277,233,0.0,0.4525423728813559,0.05733267716535433
060001708588,High Desert Premier Academy,34.486772,-117.185136,233.0,10.0,4,4,23.3,0.0155028399599064,0.0578364565587734,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.2902,106,36,0.0,0.16271186440677965,0.008858267716535433
060001709098,Apple Valley High,34.4667,-117.189,2178.0,88.0,3,1,24.75,0.1454727697961911,0.061541737649063,595.0,0.2565310492505353,Apple Valley,Apple Valley Unified,0,0,0.1088,117,666,0.0,0.1813559322033898,0.1638779527559055
060001709100,Mariana Academy,34.4442,-117.1872,673.0,28.0,1,1,24.035714285714285,0.0449047778149014,0.0597164760282307,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.2434,59,120,0.0,0.08305084745762711,0.02952755905511811
060001709101,Rancho Verde Elementary,34.5122,-117.1806,676.0,29.0,1,1,23.310344827586206,0.0451052455730036,0.0578628913822475,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.0212,251,75,0.0,0.40847457627118644,0.018454724409448817
060001709102,Yucca Loma Elementary,34.4998,-117.1974,615.0,26.0,1,1,23.65384615384616,0.0410290678249248,0.0587406630847857,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.1183,238,73,0.0,0.38644067796610165,0.01796259842519685
060001709103,Desert Knolls Elementary,34.5286,-117.2676,778.0,30.0,1,1,25.933333333333334,0.0519211493484797,0.0645655877342419,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.1636,81,149,0.0,0.12033898305084746,0.03666338582677165
060001709272,Sandia Elementary,34.4635,-117.1976,828.0,36.0,1,1,23.0,0.0552622786501837,0.0570698466780238,-4.0,0.0,Apple Valley,Apple Valley Unified,1,0,0.3612,359,83,0.0,0.5915254237288136,0.02042322834645669
060001711122,Vanguard Preparatory,34.4873,-117.1634,1151.0,45.0,1,1,25.57777777777778,0.0768459739391914,0.0636570130607609,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.1707,57,136,0.0,0.07966101694915255,0.033464566929133854
060001711747,Sitting Bull Academy,34.4848,-117.2375,1538.0,67.0,1,1,22.95522388059701,0.1027063147343802,0.0569554272928373,-4.0,0.0,Apple Valley,Apple Valley Unified,0,0,0.2953,287,500,0.0,0.4694915254237288,0.12303149606299213
060001712663,Phoenix Academy,34.532017,-117.2132,1121.0,52.0,1,1,21.557692307692307,0.074841296358169,0.0533842222513432,-4.0,0.0,Apple Valley,Apple Valley Unified,1,0,0.6001,102,107,0.0,0.1559322033898305,0.026328740157480313
060001809106,Valley High,40.553344,-123.186166,4.0,1.0,3,4,4.0,0.0002004677581022,0.0085178875638841,-4.0,0.0,Hayfork,Mountain Valley Unified,0,0,0.1477,182,0,0.0,0.2915254237288135,0.0
060001809107,Hayfork High,40.551092,-123.171146,84.0,6.0,3,1,14.0,0.0055462746408286,0.0340715502555366,-4.0,0.0,Hayfork,Mountain Valley Unified,0,0,0.1193,122,19,0.0,0.18983050847457625,0.004675196850393701
060001809108,Hayfork Elementary,40.553344,-123.186166,216.0,12.0,1,1,18.0,0.014366855997327,0.0442930153321976,-4.0,0.0,Hayfork,Mountain Valley Unified,0,0,0.1411,77,47,0.0,0.1135593220338983,0.01156496062992126
060001906929,Dublin Elementary,37.714587,-121.936063,791.0,30.0,1,1,26.366666666666667,0.0527898429669228,0.0656729131175468,-4.0,0.0,Dublin,Dublin Unified,0,0,0.1092,44,204,0.0,0.057627118644067804,0.05019685039370079
060001908443,James Dougherty Elementary,37.709946,-121.883879,1187.0,53.0,1,1,22.39622641509434,0.0792515870364183,0.0555269840249429,-4.0,0.0,Dublin,Dublin Unified,0,0,0.0947,34,80,0.0,0.04067796610169491,0.01968503937007874
060001909273,Dublin High,37.719573,-121.925184,3370.0,137.0,3,1,24.598540145985403,0.2251252923488139,0.0611547022469814,676.0,0.291220556745182,Dublin,Dublin Unified,0,0,0.2012,14,586,0.0,0.006779661016949153,0.14419291338582677
060001909274,Valley High (Continuation),37.719573,-121.925184,49.0,4.0,3,4,12.25,0.0032074841296358,0.0295996592844974,-4.0,0.0,Dublin,Dublin Unified,0,0,0.0971,230,13,0.0,0.3728813559322034,0.0031988188976377952
060001909275,Frederiksen Elementary,37.71523,-121.922957,669.0,27.0,1,1,24.77777777777778,0.0446374874707651,0.0616127200454287,-4.0,0.0,Dublin,Dublin Unified,0,0,0.0427,54,228,0.0,0.07457627118644068,0.05610236220472441
060001909276,Murray Elementary,37.721835,-121.932569,580.0,26.0,1,1,22.307692307692307,0.038690277313732,0.0553007469532171,-4.0,0.0,Dublin,Dublin Unified,0,0,0.0899,44,171,0.0,0.057627118644067804,0.04207677165354331
060001909278,Wells Middle,37.711839,-121.918954,999.0,46.0,2,1,21.717391304347824,0.0666889408620113,0.0537923116806162,-4.0,0.0,Dublin,Dublin Unified,0,0,0.1169,160,243,0.0,0.2542372881355932,0.05979330708661417
060001912078,John Green Elementary,37.718702,-121.862542,671.0,30.0,1,1,22.366666666666667,0.0447711326428332,0.0554514480408858,-4.0,0.0,Dublin,Dublin Unified,0,0,0.1576,149,232,0.0,0.23559322033898306,0.05708661417322834
060001912927,Harold William Kolb,37.712183,-121.85867,661.0,30.0,1,1,22.03333333333333,0.0441029067824924,0.0545996592844974,-4.0,0.0,Dublin,Dublin Unified,0,0,0.1219,250,108,0.0,0.4067796610169491,0.0265748031496063
060001913169,Eleanor Murray Fallon,37.715686,-121.865887,1562.0,67.0,2,1,23.31343283582089,0.1043100567991981,0.0578707823743293,-4.0,0.0,Dublin,Dublin Unified,0,0,0.0538,252,87,0.0,0.4101694915254237,0.02140748031496063
060001913862,J. M. Amador Elementary,37.718762,-121.843041,945.0,40.0,1,1,23.625,0.063080521216171,0.0586669505962521,-4.0,0.0,Dublin,Dublin Unified,0,0,0.185,51,344,0.0,0.06949152542372881,0.08464566929133858
060001914338,Dublin Unified Transition Program,37.709742,-121.920907,22.0,2.0,3,2,11.0,0.0014032743067156,0.0264054514480408,0.0,0.001713062098501,Dublin,Dublin Unified,0,0,0.1836,189,6,0.0,0.30338983050847457,0.0014763779527559055
060001914370,Cottonwood Creek,37.709123,-121.847002,936.0,45.0,1,1,20.8,0.0624791179418643,0.0514480408858603,0.0,0.001713062098501,Dublin,Dublin Unified,0,0,0.086,30,234,0.0,0.033898305084745756,0.05757874015748032
060002006951,Henry P. Mohr Elementary,37.692,-121.8606,586.0,25.0,1,1,23.44,0.0390912128299365,0.0581942078364565,-4.0,0.0,Pleasanton,Pleasanton Unified,0,0,0.0666,53,206,0.0,0.07288135593220339,0.050688976377952756
060002008444,Thomas S. Hart Middle,37.6858,-121.897,1216.0,51.0,2,1,23.84313725490196,0.0811894420314066,0.0592243711794769,-4.0,0.0,Pleasanton,Pleasanton Unified,0,0,0.18,361,258,0.0,0.5949152542372882,0.06348425196850394
060002008445,Phoebe Apperson Hearst Elementary,37.6521,-121.8855,578.0,21.0,1,1,27.52380952380953,0.0385566321416638,0.0686298369432952,-4.0,0.0,Pleasanton,Pleasanton Unified,0,0,0.2124,202,80,0.0,0.3254237288135593,0.01968503937007874
060002009279,Foothill High,37.6732,-121.9192,2202.0,91.0,3,1,24.1978021978022,0.147076511861009,0.0601306700114195,1018.0,0.4376873661670235,Pleasanton,Pleasanton Unified,0,0,0.1361,245,562,0.0,0.3983050847457627,0.13828740157480315
